dataset,brain_area,tau,fr,n
buzsaki,acc,172.36214135262014,3.387567189741006,22
buzsaki,bla,100.0739972573803,1.6017078702946221,2066
buzsaki,central,115.59305985467545,1.457992889190407,775
buzsaki,hc,125.51112769725793,2.06868048409263,667
buzsaki,mpfc,595.6567539878375,1.3228645646711144,32
buzsaki,ofc,112.09093734882022,2.021977172286708,321
faraut,amyg,68.25465854642458,2.0822393235373697,638
faraut,hc,122.7603326880137,2.396433701235097,345
froot,acc,273.8702884691354,8.598816224585411,138
froot,ofc,240.39017108149181,10.893044167776363,136
meg,amyg,313.0840601971491,8.72399603989112,151
meg,scacc,207.8216260353351,4.276941001040906,163
meg,scacc,207.8216260353351,4.276941001040906,163
minxha,amyg,104.10733710533314,3.1313892602495543,187
minxha,dacc,346.8288400372216,2.5671347573839665,158
minxha,hc,86.54126043065227,3.915142934196332,103
minxha,presma,285.9747599747125,3.4158330403188,237
lemerre,mpfc,426.5423142387125,1.738527955100903,817
peyrache,mpfc,280.5832127527326,4.056031082298549,2116
steinmetz,aca,304.832746899506,2.3518550495812627,552
steinmetz,bla,416.4844913589761,2.4147775657443757,204
steinmetz,ca1,176.39270763700097,3.15680223657587,889
steinmetz,ca2,35.611411854596746,2.0203155818540433,90
steinmetz,ca3,195.99477222556646,4.086891791231125,367
steinmetz,dg,142.09898417900615,4.5733102855777865,569
steinmetz,ila,501.0429889281234,2.8108378755693857,304
steinmetz,orb,256.4414808372485,2.022167228645151,549
steinmetz,pl,381.52086143016675,2.676435235187247,658
stoll,amyg,250.38738909011693,6.343107518318143,553
stoll,cd,153.2333021631096,2.944264182784099,692
stoll,dlpfc,212.1643366035299,4.6571248341683535,1759
stoll,lai,249.13224256717362,5.09341548844914,638
stoll,ofc,213.30046683346959,4.479346892401663,2821
stoll,pmd,301.41247681248757,7.609631415175513,1956
stoll,put,207.84510834206594,4.876162032878244,613
wirth,hc,145.15475153127224,2.5786854067438645,173
wirth,hc,141.72463008156868,2.634293949991693,90
